ontolex.LexicalSense	lexicog.usageExample	lexinfo.frequency	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.la	rdfs.label.pt	skos.definition.la	skos.definition.pt	skos.note
lexicalSense:n00304.sg01.s01							Çujar com alimpaduras. ou palhiço		 Çujar com alimpaduras . ou palhiço 	
lexicalSense:n00305.sg01.s01							Cousa chea de palhiço		 Cousa chea de palhiço 	
lexicalSense:n00306.sg01.s01							Cousa chea dalimpaduras		 Cousa chea dalimpaduras 	
lexicalSense:n00307.sg01.s01							O tribulo. ou encensayro		 O tribulo . ou encensayro 	
lexicalSense:n00308.sg01.s01							O cabeludo		 O cabeludo 	
lexicalSense:n00309.sg01.s01							O monte de cousas miudas. como sal. ou trigo		 O monte de cousas miudas . como sal . ou trigo 	
lexicalSense:n00310.sg01.s01							Amontoar cousas miudas		 Amontoar cousas miudas 	
lexicalSense:n00311.sg01.s01							O amontoar		 O amontoar 	
lexicalSense:n00312.sg01.s01							A montões		 A montões 	
lexicalSense:n00313.sg01.s01							A dilação. 		 A dilação . 	porque Acesseo foy hũ marinheyro tam vagaroso. que sempre dilataua. dizendo que esperassem por melhor lũa.
lexicalSense:n00314.sg01.s01							A medida de real. ou o quadril		 A medida de real . ou o quadril 	
lexicalSense:n00315.sg01.s01							O vinagre		 O vinagre 	
lexicalSense:n00316.sg01.s01										Dir-se-ha do homem que for sabio & estudioso. Prouerb.
lexicalSense:n00317.sg01.s01							Praguejar		 Praguejar 	
lexicalSense:n00318.sg01.s01							A selada. ou vinagreyra		 A selada . ou vinagreyra 	
lexicalSense:n00319.sg01.s01							As azedas. erua conhecida		 As azedas . erua conhecida 	
lexicalSense:n00320.sg01.s01							Cousa auinagrada. ou agra		 Cousa auinagrada . ou agra 	
lexicalSense:n00321.sg01.s01						ingratus	Por engrato	 ingratus 	 Por engrato 	
lexicalSense:n00322.sg01.s01							Rio do inferno. 		 Rio do inferno . 	sine gaudio.
lexicalSense:n00323.sg01.s01							O muyto velho que esta perto da morte		 O muyto velho que esta perto da morte 	
lexicalSense:n00324.sg01.s01							O cuydado. ou pedra preciosa		 O cuydado . ou pedra preciosa 	
lexicalSense:n00325.sg01.s01							A cega rega. ou cigarra		 A cega rega . ou cigarra 	
lexicalSense:n00326.sg01.s01						filius Pelei	Hum grande & famoso capitão dos Gregos	 filius Pelei 	 Hum grande & famoso capitão dos Gregos 	
lexicalSense:n00327.sg01.s01							Os pés ligeyros. 		 Os pés ligeyros . 	
lexicalSense:n00328.sg01.s01							Argumẽto forte		 Argumẽto forte 	
lexicalSense:n00329.sg01.s01							Cousa sem beyços. ou desborcelada		 Cousa sem beyços . ou desborcelada 	
lexicalSense:n00330.sg01.s01										Dir-se ha de hũ quãdo julga o que não tẽ visto.
lexicalSense:n00331.sg01.s01							A tinha		 A tinha 	
lexicalSense:n00332.sg01.s01							Machada de guerra		 Machada de guerra 	
lexicalSense:n00333.sg01.s01							Ho alfinete. ou crauete da fiuella		 Ho alfinete . ou crauete da fiuella 	
lexicalSense:n00334.sg01.s01							Ho peyxe agulha		 Ho peyxe agulha 	
lexicalSense:n00335.sg01.s01							Cousa azeda		 Cousa azeda 	
lexicalSense:n00336.sg01.s01							A vista dos olhos. ou gume. ou exercito		 A vista dos olhos . ou gume . ou exercito 	
lexicalSense:n00337.sg01.s01							Espada persiana		 Espada persiana 	
lexicalSense:n00338.sg01.s01							Ho bagulho da vua		 Ho bagulho da vua 	
lexicalSense:n00339.sg01.s01							Cousa chea destes bagulhos		 Cousa chea destes bagulhos 	
lexicalSense:n00340.sg01.s01							Agoa pee		 Agoa pee 	
lexicalSense:n00341.sg01.s01							A impropriedade de falar		 A impropriedade de falar 	
lexicalSense:n00342.sg01.s01							A garrocha de cordel		 A garrocha de cordel 	
lexicalSense:n00343.sg01.s01							Ho moço do coro		 Ho moço do coro 	
lexicalSense:n00344.sg01.s01							Ho rosalgar		 Ho rosalgar 	
lexicalSense:n00345.sg01.s01							Ho azedume		 Ho azedume 	
lexicalSense:n00346.sg01.s01							A espadana		 A espadana 	
lexicalSense:n00347.sg01.s01							Reposar. ou consentir		 Reposar . ou consentir 	
lexicalSense:n00348.sg01.s01							Aquirir. ou ganhar		 Aquirir . ou ganhar 	
lexicalSense:n00349.sg01.s01							Ho aquirir		 Ho aquirir 	
lexicalSense:n00350.sg01.s01							Ho aquiridor		 Ho aquiridor 	
lexicalSense:n00351.sg01.s01							o amargar da fruta verde		 o amargar da fruta verde 	
lexicalSense:n00352.sg01.s01							Ho roxinol		 Ho roxinol 	
lexicalSense:n00353.sg01.s01							Desde menino		 Desde menino 	
lexicalSense:n00354.sg01.s01							Agudeza. ou fortaleza		 Agudeza . ou fortaleza 	
lexicalSense:n00355.sg01.s01							A aspereza. ou fortaleza		 A aspereza . ou fortaleza 	
lexicalSense:n00356.sg01.s01							Azeda. ou fortemente. ou agudamente		 Azeda . ou fortemente . ou agudamente 	
lexicalSense:n00357.sg01.s01							Graça gostosa douuir		 Graça gostosa douuir 	
lexicalSense:n00358.sg01.s01							Cousa gostosa douuir		 Cousa gostosa douuir 	
lexicalSense:n00359.sg01.s01							Montes de Epiro		 Montes de Epiro 	
lexicalSense:n00360.sg01.s01							A verruga		 A verruga 	
lexicalSense:n00361.sg01.s01							A praya		 A praya 	
lexicalSense:n00362.sg01.s01							Cousa da praya		 Cousa da praya 	
lexicalSense:n00363.sg01.s01							os feitos. ou autos judiciaes		 os feitos . ou autos judiciaes 	
lexicalSense:n00364.sg01.s01							A operação. ou aução		 A operação . ou aução 	
lexicalSense:n00365.sg01.s01							Fazer. ou defender causas		 Fazer . ou defender causas 	
lexicalSense:n00366.sg01.s01							Os trabalhos passados são deleytosos		 Os trabalhos passados são deleytosos 	
lexicalSense:n00367.sg01.s01							O autor. ou representador		 O autor . ou representador 	
lexicalSense:n00368.sg01.s01							Ho escriuão judicial		 Ho escriuão judicial 	
lexicalSense:n00369.sg01.s01							Nao passageyra		 Nao passageyra 	
lexicalSense:n00370.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n00371.sg01.s01							Feito he em má parte		 Feito he em má parte 	
lexicalSense:n00372.sg01.s01							Perdida he a Republica		 Perdida he a Republica 	
lexicalSense:n00373.sg01.s01							Cousa que faz meneos		 Cousa que faz meneos 	
lexicalSense:n00374.sg01.s01							Com menêos. 		 Com menêos . 	
lexicalSense:n00375.sg01.s01							Cousa feyta & acabada		 Cousa feyta & acabada 	
lexicalSense:n00376.sg01.s01							Trabalhar de balde		 Trabalhar de balde 	
lexicalSense:n00377.sg01.s01							A obra. ou caminho		 A obra . ou caminho 	
lexicalSense:n00378.sg01.s01							A jornada da comedia		 A jornada da comedia 	
lexicalSense:n00379.sg01.s01							Prestesmente		 Prestesmente 	
lexicalSense:n00380.sg01.s01							O aguilhão. ou ferrão da abelha		 O aguilhão . ou ferrão da abelha 	
lexicalSense:n00381.sg01.s01							Fugir despois do mal feyto. 		 Fugir despois do mal feyto . 	Prouerb.
lexicalSense:n00382.sg01.s01							Cousa que pica		 Cousa que pica 	
lexicalSense:n00383.sg01.s01							O aguilhão. ou ferrão da abelha		 O aguilhão . ou ferrão da abelha 	
lexicalSense:n00384.sg01.s01							Aguçar		 Aguçar 	
lexicalSense:n00385.sg01.s01							Cousa aguda		 Cousa aguda 	
lexicalSense:n00386.sg01.s01							Cousa agudinha		 Cousa agudinha 	
lexicalSense:n00387.sg01.s01							A agudeza. ou gume de ferro		 A agudeza . ou gume de ferro 	
lexicalSense:n00388.sg01.s01							Cousa que tem gume. ou aguçada		 Cousa que tem gume . ou aguçada 	
lexicalSense:n00389.sg01.s01							Aguçar. ou fazer agudo		 Aguçar . ou fazer agudo 	
lexicalSense:n00390.sg01.s01							Agudamente		 Agudamente 	
lexicalSense:n00391.sg01.s01							A limpadura		 A limpadura 	
lexicalSense:n00392.sg01.s01							A agulha		 A agulha 	
lexicalSense:n00393.sg01.s01							O mesmo		 O mesmo 	
lexicalSense:n00394.sg01.s01							O peyxe agulha		 O peyxe agulha 	
lexicalSense:n00395.sg01.s01							Laurar com agulha		 Laurar com agulha 	
lexicalSense:n00396.sg01.s01							O laurandeyro		 O laurandeyro 	
lexicalSense:n00397.sg01.s01							A laurandeyra		 A laurandeyra 	
lexicalSense:n00398.sg01.s01							Acertar		 Acertar 	
lexicalSense:n00399.sg01.s01							Agulha achâra. se agulha buscâra. 		 Agulha achâra . se agulha buscâra . 	Dir-se-ha da cousa bẽ buscada. Prou.
lexicalSense:n00400.sg01.s01							Cousa ligeyra dos pés		 Cousa ligeyra dos pés 	
lexicalSense:n00401.sg01.s01							A impropiedade das palauras. 		 A impropiedade das palauras . 	
lexicalSense:n00402.sg01.s01							Acerca. ou para		 Acerca . ou para 	
lexicalSense:n00403.sg01.s01							Cousa cõstrãgida		 Cousa cõstrãgida 	
lexicalSense:n00404.sg01.s01							Igoalar		 Igoalar 	
lexicalSense:n00405.sg01.s01							Igoalmente		 Igoalmente 	
lexicalSense:n00406.sg01.s01							O rifão. ou prouerbio		 O rifão . ou prouerbio 	
lexicalSense:n00407.sg01.s01										Dir-se-ha do doudo. o qual se entrega aos parentes.
lexicalSense:n00408.sg01.s01							O diamante pedra durissima		 O diamante pedra durissima 	
lexicalSense:n00409.sg01.s01							Cousa rigissima		 Cousa rigissima 	
lexicalSense:n00410.sg01.s01							Encher-se ate as orelhas. 		 Encher - se ate as orelhas . 	Prouerb.
lexicalSense:n00411.sg01.s01			Prouer. 				Perfeytamẽte		 Perfeytamẽte 	
lexicalSense:n00412.sg01.s01							Abrir		 Abrir 	
lexicalSense:n00413.sg01.s01							Cousa aberta		 Cousa aberta 	
lexicalSense:n00414.sg01.s01							Apropiar		 Apropiar 	
lexicalSense:n00415.sg01.s01							Regar as aruores. ou dar de beber		 Regar as aruores . ou dar de beber 	
lexicalSense:n00416.sg01.s01							A regadura		 A regadura 	
lexicalSense:n00417.sg01.s01							Acrecentar		 Acrecentar 	
lexicalSense:n00418.sg01.s01							Beber		 Beber 	
lexicalSense:n00419.sg01.s01							Nũca. para dia de sam cerejo		 Nũca . para dia de sam cerejo 	
lexicalSense:n00420.sg01.s01							Espessar. ou fazer espesso		 Espessar . ou fazer espesso 	
lexicalSense:n00421.sg01.s01							Vẽder em almoeda		 Vẽder em almoeda 	
lexicalSense:n00422.sg01.s01							Cousa obrigada. ou sogeyta a outrem		 Cousa obrigada . ou sogeyta a outrem 	
lexicalSense:n00423.sg01.s01							Aprender de nouo		 Aprender de nouo 	
lexicalSense:n00424.sg01.s01							Acrecẽtar		 Acrecẽtar 	
lexicalSense:n00425.sg01.s01							O acrecentamẽto		 O acrecentamẽto 	
lexicalSense:n00426.sg01.s01							Cousa acrecentada		 Cousa acrecentada 	
lexicalSense:n00427.sg01.s01							Esforçar a alguem. ou poer esforço		 Esforçar a alguem . ou poer esforço 	
lexicalSense:n00428.sg01.s01							Fazer hũa maldade sobre outra		 Fazer hũa maldade sobre outra 	
lexicalSense:n00429.sg01.s01							Ensinar		 Ensinar 	
lexicalSense:n00430.sg01.s01							Adormecer-se		 Adormecer - se 	
lexicalSense:n00431.sg01.s01							Duuidar		 Duuidar 	
lexicalSense:n00432.sg01.s01							A duuida		 A duuida 	
lexicalSense:n00433.sg01.s01							Leuar. ou guiar a outrem		 Leuar . ou guiar a outrem 	
lexicalSense:n00434.sg01.s01							Trazer alguem ao seu parecer		 Trazer alguem ao seu parecer 	
lexicalSense:n00435.sg01.s01							Acabar de comer. ou consumir		 Acabar de comer . ou consumir 	
lexicalSense:n00436.sg01.s01							Em tanta maneyra. ou certamente		 Em tanta maneyra . ou certamente 	
lexicalSense:n00437.sg01.s01							Ir. 		 Ir . 	neutro.
lexicalSense:n00438.sg01.s01							Ir falar. ou entrar. 		 Ir falar . ou entrar . 	actiuo.
lexicalSense:n00439.sg01.s01							O tirar		 O tirar 	
lexicalSense:n00440.sg01.s01							A enxundia		 A enxundia 	
lexicalSense:n00441.sg01.s01							Cousa comida. ou gastada		 Cousa comida . ou gastada 	
lexicalSense:n00442.sg01.s01							Caualgar a caualo		 Caualgar a caualo 	
lexicalSense:n00443.sg01.s01							Artificiosamente		 Artificiosamente 	
lexicalSense:n00444.sg01.s01							Deytar-se da banda dos ricos		 Deytar - se da banda dos ricos 	
lexicalSense:n00445.sg01.s01							O mesmo		 O mesmo 	
lexicalSense:n00446.sg01.s01							Como chegares ao fim da vida. não queyras viuer mais		 Como chegares ao fim da vida . não queyras viuer mais 	
lexicalSense:n00447.sg01.s01							Alẽ disso		 Alẽ disso 	
lexicalSense:n00448.sg01.s01							Achegar-se. ou apegar		 Achegar - se . ou apegar 	
lexicalSense:n00449.sg01.s01							Cõsentir com outro		 Cõsentir com outro 	
lexicalSense:n00450.sg01.s01							O apegamento		 O apegamento 	
lexicalSense:n00451.sg01.s01							Apegadamente		 Apegadamente 	
lexicalSense:n00452.sg01.s01							Atee o cabo do mundo		 Atee o cabo do mundo 	
lexicalSense:n00453.sg01.s01							Achegar. ou chamar		 Achegar . ou chamar 	
lexicalSense:n00454.sg01.s01							Obrigar. ou enredar		 Obrigar . ou enredar 	
lexicalSense:n00455.sg01.s01							Ao tempo ordenado		 Ao tempo ordenado 	
lexicalSense:n00456.sg01.s01							Vjr âs oras certas		 Vjr âs oras certas 	
lexicalSense:n00457.sg01.s01							Ainda		 Ainda 	
lexicalSense:n00458.sg01.s01							Ainda temos esperança		 Ainda temos esperança 	
lexicalSense:n00459.sg01.s01							Ainda o ceo anda. i. ainda ay confiança		 Ainda o ceo anda . i . ainda ay confiança 	
lexicalSense:n00460.sg01.s01							Atee o dia doje		 Atee o dia doje 	
lexicalSense:n00461.sg01.s01							Desta maneyra		 Desta maneyra 	
lexicalSense:n00462.sg01.s01							Amoestar		 Amoestar 	
lexicalSense:n00463.sg01.s01							Amoestação		 Amoestação 	
lexicalSense:n00464.sg01.s01										Dir-se ha dos homẽs que forem estremados em algũa arte.
lexicalSense:n00465.sg01.s01							Iazer junto dalguem		 Iazer junto dalguem 	
lexicalSense:n00466.sg01.s01							Constranger. ou empuxar		 Constranger . ou empuxar 	
lexicalSense:n00467.sg01.s01							Acrecentar		 Acrecentar 	
lexicalSense:n00468.sg01.s01							Cousa acrecentada		 Cousa acrecentada 	
lexicalSense:n00469.sg01.s01							Cea de muytos manjares		 Cea de muytos manjares 	
lexicalSense:n00470.sg01.s01							Tirar		 Tirar 	
lexicalSense:n00471.sg01.s01							Inuentar		 Inuentar 	
lexicalSense:n00472.sg01.s01							Cousa gorda		 Cousa gorda 	
lexicalSense:n00473.sg01.s01							O mesmo		 O mesmo 	
lexicalSense:n00474.sg01.s01							Iantar abondoso		 Iantar abondoso 	
lexicalSense:n00475.sg01.s01							Alcãçar		 Alcãçar 	
lexicalSense:n00476.sg01.s01							Arriscar a vida		 Arriscar a vida 	
lexicalSense:n00477.sg01.s01							Aceytar herança		 Aceytar herança 	
lexicalSense:n00478.sg01.s01							A entrada		 A entrada 	
lexicalSense:n00479.sg01.s01							O cruzeyro. ou ossia		 O cruzeyro . ou ossia 	
lexicalSense:n00480.sg01.s01							Aceytação da herança		 Aceytação da herança 	
lexicalSense:n00481.sg01.s01							Tirar por sentença		 Tirar por sentença 	
lexicalSense:n00482.sg01.s01							O julgar		 O julgar 	
lexicalSense:n00483.sg01.s01							Ajũtar. ou atar		 Ajũtar . ou atar 	
lexicalSense:n00484.sg01.s01							O mesmo		 O mesmo 	
lexicalSense:n00485.sg01.s01							Apricar-se a algum exercicio		 Apricar - se a algum exercicio 	
lexicalSense:n00486.sg01.s01							Esconjurar. ou jurar		 Esconjurar . ou jurar 	
lexicalSense:n00487.sg01.s01							A esconjuração		 A esconjuração 	
lexicalSense:n00488.sg01.s01							Aiudar		 Aiudar 	
lexicalSense:n00489.sg01.s01							O mesmo		 O mesmo 	
lexicalSense:n00490.sg01.s01							O aiudador		 O aiudador 	
lexicalSense:n00491.sg01.s01							Aiudadora		 Aiudadora 	
lexicalSense:n00492.sg01.s01							Aiuda		 Aiuda 	
lexicalSense:n00493.sg01.s01							Ladrar. ou pragueiar		 Ladrar . ou pragueiar 	
lexicalSense:n00494.sg01.s01							O praguejamento. ou maldizer		 O praguejamento . ou maldizer 	
lexicalSense:n00495.sg01.s01							O maldizente		 O maldizente 	
lexicalSense:n00496.sg01.s01			Prouerb. 				perfeytamente		 perfeytamente 	
lexicalSense:n00497.sg01.s01			Prouerb. 				Claramente		 Claramente 	
lexicalSense:n00498.sg01.s01			Prouerb. 				em pronto a mão		 em pronto a mão 	
lexicalSense:n00499.sg01.s01							Bebẽ agoa por medida. & comem sem medida manjares. 		 Bebẽ agoa por medida . & comem sem medida manjares . 	Dir-se-ha dos que nas cousas leues sam mesquinhos. & nas custosas. sam descuydados.
lexicalSense:n00500.sg01.s01							Medir		 Medir 	
lexicalSense:n00501.sg01.s01							Cantar choroso. 		 Cantar choroso . 	como o del rey Admeto por sua molher defunta.
lexicalSense:n00502.sg01.s01							Ajudar. ou empar as vinhas		 Ajudar . ou empar as vinhas 	
lexicalSense:n00503.sg01.s01							Aiuda		 Aiuda 	
lexicalSense:n00504.sg01.s01							O aiudador		 O aiudador 	
lexicalSense:n00505.sg01.s01							Reger. ou gouernar		 Reger . ou gouernar 	
lexicalSense:n00506.sg01.s01							Gouernar a cidade		 Gouernar a cidade 	
lexicalSense:n00507.sg01.s01							Ter cuydado da guerra		 Ter cuydado da guerra 	
lexicalSense:n00508.sg01.s01							marauilhar-se. ou espantar-se		 marauilhar - se . ou espantar - se 	
lexicalSense:n00509.sg01.s01							Ho espanto		 Ho espanto 	
lexicalSense:n00510.sg01.s01							cousa espantosa. ou marauilhosa		 cousa espantosa . ou marauilhosa 	
lexicalSense:n00511.sg01.s01							Ho marauilhador		 Ho marauilhador 	
lexicalSense:n00512.sg01.s01							Marauilhosamente		 Marauilhosamente 	
lexicalSense:n00513.sg01.s01							Caualo castiço		 Caualo castiço 	
lexicalSense:n00514.sg01.s01							Ho carneyro castiço		 Ho carneyro castiço 	
lexicalSense:n00515.sg01.s01							Ho tempo em que as alimarias andão saydas		 Ho tempo em que as alimarias andão saydas 	
lexicalSense:n00516.sg01.s01							Ho porteyro da camara		 Ho porteyro da camara 	
lexicalSense:n00517.sg01.s01							Receber. ou deyxar entrar		 Receber . ou deyxar entrar 	
lexicalSense:n00518.sg01.s01							Cometer. ẽ maa parte		 Cometer . ẽ maa parte 	
lexicalSense:n00519.sg01.s01							Ho recebimento. ou entrada		 Ho recebimento . ou entrada 	
lexicalSense:n00520.sg01.s01							Ho peccado. ou maleficio		 Ho peccado . ou maleficio 	
lexicalSense:n00521.sg01.s01							Mesturar		 Mesturar 	
lexicalSense:n00522.sg01.s01							A mistura		 A mistura 	
lexicalSense:n00523.sg01.s01							Muyto. ou grãdemente		 Muyto . ou grãdemente 	
lexicalSense:n00524.sg01.s01							trazer à memoria		 trazer à memoria 	
lexicalSense:n00525.sg01.s01							Ho alembramento		 Ho alembramento 	
lexicalSense:n00526.sg01.s01							Ho alembrador		 Ho alembrador 	
lexicalSense:n00527.sg01.s01							Achegar. 		 Achegar . 	Actiuo.
lexicalSense:n00528.sg01.s01							Cousa achegada. ou apegada		 Cousa achegada . ou apegada 	
lexicalSense:n00529.sg01.s01							Morder. 		 Morder . 	acti.
lexicalSense:n00530.sg01.s01							Bramar as vacas		 Bramar as vacas 	
lexicalSense:n00531.sg01.s01							Murmurar. 		 Murmurar . 	Neutro.
lexicalSense:n00532.sg01.s01							Ho murmurar		 Ho murmurar 	
lexicalSense:n00533.sg01.s01							Nadar. 		 Nadar . 	Neutro.
lexicalSense:n00534.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n00535.sg01.s01							Chorar fingidamente		 Chorar fingidamente 	
lexicalSense:n00536.sg01.s01							Criar. 		 Criar . 	actiuo.
lexicalSense:n00537.sg01.s01							Estribar-se		 Estribar - se 	
lexicalSense:n00538.sg01.s01							Somerger. ou enterrar		 Somerger . ou enterrar 	
lexicalSense:n00539.sg01.s01							Acender. ou queymar		 Acender . ou queymar 	
lexicalSense:n00540.sg01.s01							Crecer		 Crecer 	
